authors	average_rating
Gary Colombo-Bonnie Lisle	3.77
Thomas E. Skidmore-Peter H. Smith	3.59
Philip Roth	3.75
Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms	4.02
Jon Stewart	3.59
Gabriel GarcÃ­a MÃ¡rquez-Gregory Rabassa-J.S. Bernstein	4.19
Gabriel GarcÃ­a MÃ¡rquez	3.96
Gabriel GarcÃ­a MÃ¡rquez	4.06
Gabriel GarcÃ­a MÃ¡rquez	3.98
Gabriel GarcÃ­a MÃ¡rquez-Edith Grossman	3.98
Gabriel GarcÃ­a MÃ¡rquez	3.59
Brian Greene	4.07
Upasika Kee Nanayon-Thanissaro Bhikkhu	4.38
Rob Humphreys-Beth Chaplin-Rebecca Morrill	3.75
Lonely Planet-Sarah Johnstone-Tom Masters	4.03
Lonely Planet-Sarah Johnstone-Steve Fallon	4.09
Lonely Planet-Steve Fallon-Pat Yale	4.03
Lonely Planet-Sarah Johnstone-Tom Masters	4.03
Lonely Planet-Mark Honan	0
H.G. Bissinger	3.87
Neal Stephenson	4.25
Neal Stephenson	4.13
Neal Stephenson	4.11
Neal Stephenson	4.25
Neal Stephenson	3.93
Neal Stephenson-J. Frederick George	3.61
Neal Stephenson	3.71
Neal Stephenson	3.25
Neal Stephenson	4.19
Neal Stephenson-George F. Jewsbury-Stephen  Bury	3.67
Neal Stephenson	4.2
Neal Stephenson	4.03
Neal Stephenson-Joachim KÃ¶rber	4.03
Dan Harrington-Bill Robertie	4.15
Dan Harrington-Bill Robertie	4.23
Donald A. Norman	4.19
Donald A. Norman	3.94
Donald A. Norman	4.19
Alex C. Jones-Diane M. Hanson-Stephen K. Ray	4.26
Paulo Coelho-Alan R. Clarke-James Noel Smith	3.85
Paulo Coelho-Alan R. Clarke-Ã–zdemir Ä°nce	3.85
Hiromu Arakawa-Akira Watanabe	4.57
Hiromu Arakawa-Akira Watanabe	4.56
Hiromu Arakawa-Akira Watanabe	4.57
Hiromu Arakawa-Akira Watanabe	4.49
Hiromu Arakawa-Akira Watanabe	4.55
Hiromu Arakawa-Akira Watanabe	4.52
Khaled Hosseini	4.28
Robert   Harris	3.81
Edward Bulwer-Lytton-John Gregory Betancourt	3.59
John Steinbeck	3.86
John Steinbeck-Jim Taylor	3.86
Neil Strauss	3.74
Ellen Raskin	4.02
Zilpha Keatley Snyder	3.82
Arthur Golden	4.1
Arthur Golden	4.1
Arthur Golden	4.1
David        James-Peggy Mulloy-Rob Marshall-Arthur Golden	4.08
Arthur Golden	4.1
Mineko Iwasaki-Rande Brown	3.93
Arthur Golden	4.1
J. Torres-Eric  Kim	3.44
Margaret Johnson-Philip Prowse	3.37
Nora Roberts	3.74
Gary Chapman	4.71
Dan Brown	3.88
Dan Brown	3.82
Dan Brown	3.82
Dan Brown-Daniel Roche	3.82
Dan Brown	3.7
Paulo Coelho-Jean Orecchioni	3.85
Leonard Goldberg	3.87
William Shakespeare-SparkNotes	3.9
William Shakespeare	3.9
William Shakespeare-Jay L. Halio	3.9
William Shakespeare-Von	3.99
William Shakespeare-Chris Abraham-Barry Avrich	3.8
William Shakespeare-Stephen Orgel-A.R. Braunmuller	3.8
William Shakespeare-Roma Gill	3.8
William Shakespeare-Frances Barber-Roger Allam-Arkangel Cast	3.8
